seller_fee_basis_points	standardWidth	rv	is_alpha	thumbnail	type	external_uri	dist	is dynamic	background_color	updates	prestige	coordinates_bottom_right	Genre	Address	temperature	z	generation	subtitle	creators	xp	features	apiURL	color	payout_address	marble_attributes	ETH$	image_url	offset	bayer	Author	gif_url	var_max	token_id	copyright_transfer	description	image_data	royalty_amount	tokenID	animation_url	decimals	xWidth	Release Qty	id	base	var_min	animation_image	home_url	desc	amount	adw	landmark	archival_url	version	tokenNumber	uniqueComboId	designer	edizione	maxSupply	vz	imageid	image_cover	Watch	lum	texture_orm	updatedAt	canvasImage	BTC Block Height	abilities	var	numAvailable	interactive_nft	preview_images	assetType	resellable	image_original	series	pmrarad	aspect ratio (w/h)	collection_name	scarf	license_url	timestamp	yearCreated	error	original	auctionLength	printableSeries	static-image	tokenId	seed	combination	created_at	shape_obj	attributes	audio	original_creator	scale	mouth	external_link	COMMS	status	token_hash	symbol	canvasWidthInPx	canvases	collection_url	rarity	updated_at	createdAt	icon	media	minted	gasless	edition_total	vintageImage	shape_gltf	Hat	principal	store	title	forSale	mapping_id	token_uri	artwork code	hip	author	radius	dec	eyes	contract	tune_token_id	template	owner	card_id	comp	con	Reference	edition_number	isRevealed	awp	auctionType	listing_id	genome	sale	number_attributes	intermediateLevelSegment	collection	image	bf	total_editions	seriale	created_by	file_key	sensitive_content	Minted By	mag	spect	surname	image_profile_circle	matrix	image_no_bg_url	hash	pmdec	borrow	isFairDice	Date	date	ra	tokenid	animation_details	url	epithets	Website	Body	uses hash	artwork id	externalUrl	collection_id	external_url	createdBy	origin_cid	legal	animationUrls	extra_data	image_full	address	Ball	yHeight	sub_category	variety	artwork number	store_id	copyright	token_address	script type	glb	comp_primary	Artists	properties	compiler	ipfs	texture_bc	hr	audio_original	pmra	core_attributes	randomSeedData	ipfs_image	gl	artist	name	dna	script_type	image_ipfs	img	traits	contractAddress	license	website	flam	personality	rank	fee_recipient	tags	spectral_type	Clothes	Glass	ratio	ci	Type	avatar_url	coordinates_top_left	result	nft_contract_address	cannon_assetId	taskId	alt	ethPrice	created_year	initialLevelSegment	fiatPrice	cover_image_set	chainId	pmdecrad	rarad	amountToMint	poem	DeepestMystery	download	price	contributors	social_media	hd	image_profile_square	vy	totalReturns	visibility	originalIndex	iframe_url	message	absmag	finalLevelSegment	category	decrad	animation	stats	image_details	video	mintedOn	Background Color	creator	backgroundColor	x	colors	_id	Authors	Series	extras_future_url	platform	proper	edition	y	aspect_ratio	gamefi_URI	particleType	minter	language	vx	artwork serial	slot	dependencies	canvasHeightInPx	number	youtube_url
																																			HodlHeads 																																																						162					trait_type,value																																																					0x16Fb84A2D54E5296a6fF8284D870E156aE9B11b6	ipfs://QmPheMZf4ufSSAczFrzz6d45QrHHQj9LUiPCxf8aSEdHJx																															https://www.hodlheads.io/																																HodlHead #162																																																																																			
									141414																										Japan’s Mt																																																						1711604651755					trait_type,display_type,value																																																					0x5c1110907A0f0D39B7E3b7bf472981BC19E88A62	https://maps.wikimedia.org/osm-intl/17/116046/51755.png																															https://0xearth.github.io																																Mount Fuji : 富士山																																																																																			
																																							ipfs://QmeynPsm8DujMEEvnch2zPqwTqdeu5JzKNgerevkQPkdYa																																																		1033					trait_type,display_type,value																																																					0x77A679DB25D504D83d59b32467545C5A3783C88B	ipfs://QmeynPsm8DujMEEvnch2zPqwTqdeu5JzKNgerevkQPkdYa																																																															[N] - Green																																																																																			
																																			You bring 																																																						0					trait_type,value																																																					0x5180F2A553e76FAc3cf019c8011711cF2b5C6035	ipfs://QmZWjjuu42edcLxoTQbmcUXQcPDrFiH1qmZtqdysjgEeMt																																																															RKL Sneakers #0																																																																																			
									ffffff																										Tiggz - Sh				https://res.cloudinary.com/nifty-gateway/video/upload/v1596483506/GoldweardDrop2/Tiggz_Shiny_d0rhgi.mp4																																																		1000040020																																																										0xB91c1aA27A2eb25228B5D1019ec6b24fE73c5535	https://res.cloudinary.com/nifty-gateway/video/upload/v1596483506/GoldweardDrop2/Tiggz_Shiny_d0rhgi.png																															https://niftygateway.com/#/																																Tiggz - Shiny #20/75																																																																																			
																																			Songs for 				ipfs://bafybeiaqoywqfiy6jgeahpzczjmtzckfyyfxrg72gcohyto6pwhben42bu/song.wav																																																		1202					trait_type,value																																					1202																0x60d08DBDEd0bf56d21977b597793e69D1C5456e0	ipfs://Qmcu552EPV98N9vi96sGN72XJCeBF4n7jC5XtA1h3HF5kC/1202-composite.png																																																															Dreams Are Free (feat. Glasstempo) (Original)																																																																																			
																																			This is a 								1030																																														1030					trait_type,value																																																					0x06c6DB12875E254a0e0C7259C7d4993E017EDC80	https://gateway.ipfs.io/ipfs/QmNQDAzo3wVCHvkvwJ37DxK3A6en3KKuokBjauRVWKEaBU																																																															ChunkyChicken#1030																																																																																			
																																			Nodestones																																																						116					trait_type,value																																																					0xC01C24C1c63f405c394769CF3E5949CfCb9Ef093	https://gateway.pinata.cloud/ipfs/QmVbhtn8mbNH41ryMNL9WnuScFtokxa72pcm6MAiG17LXA/Celestite-Waterstone-L1.gif																																																															Celestite Waterstone																																																																																			
																																																																																									1177																																																										0x4DeB7172B1FA6FAAad32241ffDdDd521fAa0Ed1C																																																																																																																																																			
																																																																																									1094																																																										0xe5545fa0636a82C0B37c7DB62e2104e69A11d062																																																																																																																																																			
				https://peer.decentraland.org/content/contents/QmNS1wnXJqUxxnq6XH2qvc76i3XnBS7LVkXYojffxHqgRF																															DCL Wearab								urn:decentraland:ethereum:collections-v1:halloween_2019:zombie_suit_upper_body																																														1					trait_type,value																																																					0xc1f4b0eEa2bD6690930e6c66eFd3E197D620B9c2	https://peer.decentraland.org/content/contents/Qmb915uE8ir6kpR44zxp8xnyU9p3rH5VcgAvdLs9fPrsib																																																															Zombie Suit																																																																												en-US							
																																			Stereohead																																																						166					max_value,trait_type,display_type,value																																																					0xa05563ccEf87ff9cA1e770270D9F1a26916D9c48	http://stereoheadz.com/szmc/meta/images/live/szmc_image_01_00166.png																																																															StereoheadZ #166																																																																																			
																																																																																									1039					trait_type,value,_id																																				0xd26e223018bfd1d5230416dafceaef1db0b092da			0x000000000000000000000000000000000000dEaD						True								0xd26E223018Bfd1d5230416dafCeAEF1DB0b092Da	https://storage.googleapis.com/onedaybae/moon_way_space_images/1039.gif																																																															One Day Moon Way #1039																																																																																			
																																																																																									1000																																																										0x9fdb31F8CE3cB8400C7cCb2299492F2A498330a4																																																																																																																																																			
																		THE 5000 DAY SELECTS _ AP				mintable_store												False			0		https://d1iczm3wxxz9zd.cloudfront.net/5256010c-0eae-4ae0-8e71-5b506f81f2f5/000000-000-0000-ba26-0000000000/3165/ITEM_PREVIEW1.mp4																																			True												0	False		3165							0xc6b0562605D35eE710138402B878ffe6F2E23807							Mintable store											1						THE 5000 DAY SELECTS _ AP																		1									0x9201a886740D193E315F1F1B2B193321D6701D07	https://d1iczm3wxxz9zd.cloudfront.net/5256010c-0eae-4ae0-8e71-5b506f81f2f5/000000-000-0000-ba26-0000000000/3165/ITEM_PREVIEW2.png																							https://metadata.mintable.app/mintable_store/3165															0x9201a886740D193E315F1F1B2B193321D6701D07																									THE 5000 DAY SELECTS _ AP																																																				Art																															
									ffffff																										Ruby cloud				https://res.cloudinary.com/nifty-gateway/video/upload/v1618791740/A/DukeDumont/Duke_Dumont_X_LOREM_-_Ruby_odh4rx.mp4																																																		43200020001																																																										0x8f55DEAAD9f4AE34734e2dbc6B77ace6e564C3F7	https://res.cloudinary.com/nifty-gateway/video/upload/v1618791740/A/DukeDumont/Duke_Dumont_X_LOREM_-_Ruby_odh4rx.png																															https://niftygateway.com/#/																																Ruby #1/1																																																																																			
																																			"With ""Disp"																																																						10010001					trait_type,display_type,value																																																					0x807b7601aa00Ab306254e19c17aADC5c361354A4	https://assets.lgnd.art/public/drops/complexcon/NFT/VM_1080.jpg																															https://lgnd.art/asset/victor-mosquera-cc																																Displacer #1																																																																																			
																																																																																									101												10000																																														0x27b4bC90fBE56f02Ef50f2E2f79D7813Aa8941A7																																																																																						{'data': {'name': 'BRONZE', 'description': 'Ordinary tool found in grocery stores', 'i18n_name': 'nft_0001', 'i18n_description': 'nft_0002', 'small_image': 'https://dego.finance/upload/small/1.png', 'big_image': 'https://dego.finance/upload/big/1.png', 'id': '101', 'external_url': 'https://api.dego.finance/gego-token/101', 'attributes': {'grade': '1', 'quality': '98', 'degoAmount': '1000000000000000000', 'createdTime': '1601213306', 'blockNum': '10944907', 'resId': '1', 'author': '0xb833B1B0eF7F2b2183076868C18Cf9A20661AC7E'}}}																																																													
																																																																																									101																																																										0xC817FC793AA1A7D04d8E34d5e6cB91f5b1a1dcc6																																																																																																																																																			
																																			Chibi Dino																																																						10																																																										0xB5572ef45a121CB72322be82a416Aa548A41B76c	ipfs://QmNz6L51WLAoJZygvrSfGWrneiJtLxYfKFXhkVujirJPZ3/hidden.png																																																															Chibi Dino Tick or Treat																																																																						1													
																																																																																									2																																																										0x8D10e32e677Ee75AcF89B950CFc625bae4140B33																																																																																																																																																			
																																			Kbot facto																																																						1062					trait_type,value																																																					0xDa7d7F75c9aB826329888F056026d6ba8525d5Bb	https://gateway.pinata.cloud/ipfs/QmQRr6b6TMFKXo3dzov9HsyGWmvxxYHAAEXFz1oMKj2BSw																															https://KlaraLabs.io																																KBOT-F.01062																																																																																			
																																																																																									1078																																																										0x5C1749Bc5734B8F9Ea7cda7e38b47432C6CfFB66																																																																																																																																																			
																																			Ability Sc																																																						1056																																																										0x42A87e04f87A038774fb39c0A61681e7e859937b	data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHByZXNlcnZlQXNwZWN0UmF0aW89InhNaW5ZTWluIG1lZXQiIHZpZXdCb3g9IjAgMCAzNTAgMzUwIj48c3R5bGU+LmJhc2UgeyBmaWxsOiB3aGl0ZTsgZm9udC1mYW1pbHk6IHNlcmlmOyBmb250LXNpemU6IDE0cHg7IH08L3N0eWxlPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9ImJsYWNrIiAvPjx0ZXh0IHg9IjEwIiB5PSIyMCIgY2xhc3M9ImJhc2UiPlN0cmVuZ3RoOiAxNjwvdGV4dD48dGV4dCB4PSIxMCIgeT0iNDAiIGNsYXNzPSJiYXNlIj5EZXh0ZXJpdHk6IDE0PC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSI2MCIgY2xhc3M9ImJhc2UiPkNvbnN0aXR1dGlvbjogNzwvdGV4dD48dGV4dCB4PSIxMCIgeT0iODAiIGNsYXNzPSJiYXNlIj5JbnRlbGxpZ2VuY2U6IDE3PC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSIxMDAiIGNsYXNzPSJiYXNlIj5XaXNkb206IDEzPC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSIxMjAiIGNsYXNzPSJiYXNlIj5DaGFyaXNtYTogMTI8L3RleHQ+PC9zdmc+																																																															Sheet #1056																																																																																			
																																			Pagliacci 																																																						100					trait_type,value																																																					0x718BeCbd7676Adf05E6CA668Aef001c6735F8a11	ipfs://QmQCN2M8gQK2Z6nX4Qu6pJKXeTSzuvTY12WrC6653PiNKn/100.png																			1635478584097																																												#100	cffcbcefa822d87bac60d4c0656e0dcb067fec90																																																																					100													
																																			Abstract L				https://www.crudefingers.com/abstract_loot/1006																																																		1006					trait_type,value																																																					0xcC56775606730C96eA245D9cF3890247f1c57FB1	https://abstractloot.mypinata.cloud/ipfs/QmZgbF2A6hDuWs7gRvmg7xtg1Lc6u7ErhaBfrn7a2ExTQD/1006.png																																																															Abstract Bag #1006																																																																																			
																																			Ticket to 																																																						104					['generation']																																																					0xb19a7BF69492fA2642f4774C8FA501AaF5C427d2	https://aifx1-api.herokuapp.com//images/104.gif																																																															A.I.F.X Key #104																																																																																			
																																			A unique B								1002																																														1002					trait_type,display_type,value																																																	2570043280800320				0xF8C18Df7509c03b45e6247b2b9E73fcaDEF24dd6	https://storage.googleapis.com/apes-f984d.appspot.com/monke/0354b6ab8c191f2d138d.png																																																					ipfs://QmcHqZkcrb4DuPRgWMdTgYdBjibqj6QqpZNbYLorhbpni7										BitMate #1002																																																																																			
									ffffff																										PAID IN EX				https://res.cloudinary.com/nifty-gateway/video/upload/v1634057809/Max/Snuffy/PAID_IN_EXPOSURE_cpm0d8.mp4																																																		17000010027																																																										0xa3f36D7c76FbEB1780c7CBe9007d1A7d968b7A91	https://res.cloudinary.com/nifty-gateway/video/upload/v1634057809/Max/Snuffy/PAID_IN_EXPOSURE_cpm0d8.png																															https://niftygateway.com/#/																																PAID IN EXPOSURE #27/297																																																																																			
																																			5555 Slimy																																																						103					trait_type,value																																																					0x1466A19c4D83A3802e970BbEA456A0D1e09e3aAB	https://slimysnails.io/images/103.png																																																															Slimy Snail #103																																																																																			
																																			A rare Tig											#																																											109					trait_type,value																																																					0xFf34d244764E5aA4cEf6605a0E280C2F6567139b	https://media.zinbucks.com/open/tt/109.jpg																																																															Trendy Tigers #109																																																																																			
																																																																																									0																																																										0x48DFc81a5d497b6af1c3e35E514D2A54EDE1F9d9	https://ipfs.io/ipfs/Qmcn9cArH7Ck6aLTq5Eete2XM6WWGBo2edtMAG8R3Cw2GT/Basic.gif																																																															Glewme City Pack Level1																																																																																			
																																			artonomous																																																2021						10					trait_type,value																	{'uri': 'https://ipfs.pixura.io/ipfs/QmScTtfGj3TJNg7uEPP1HADCXvzYrDeUkcf7xTnhFGTZ8H/sun_dancers_final.gif', 'dimensions': '1024x1024', 'size': '24226075', 'mimeType': 'image/gif'}																																				0x2D413006b09DC8953a468E662d81382942b4C0D2	https://ipfs.pixura.io/ipfs/QmScTtfGj3TJNg7uEPP1HADCXvzYrDeUkcf7xTnhFGTZ8H/sun_dancers_final.gif																																Pindar Van Arman																															The Sun Dancers 21,623													['aiart', 'artonomous', 'bitgans', 'gans', 'animation']																																																																						
																																			Lotto Llam																																																						145					['Background', 'Fur', 'Face', 'Body', 'Hat']																																																					0x2FEbE228D2Ad5a9AdC8eC3F77b3F23aD7BB13b1e	ipfs://Qmc2qKjTVLQD9uTG2iLNZJjfJ5GZYxfnQ6FxK95M7i2jBm/145.png																																																															Llama #145																																																																																			
				https://peer.decentraland.org/content/contents/QmcDJvsm6muyZyeAN9S3znX2HHzuybyscDxCh4pBoJ4axh																															DCL Wearab								urn:decentraland:ethereum:collections-v1:binance_us_collection:binance_us_hat																																														1004					trait_type,value																																																					0xA8EE490E4c4dA48cc1653502c1A77479d4D818De	https://peer.decentraland.org/content/contents/QmP6kMEf1yTUfNVYPXGTyErBH3Ao3CHHwcUBcqkMaAGspk																																																															Binance US Hat																																																																												en-US							
																																			Yeah, I'm 																																																						25																																																										0x20C34eB95ebec100AC7c7aD934435F2002fE2703	https://gateway.pinata.cloud/ipfs/QmQrTeGNSB3MhekPrRPW938t7nfButw8hfTFKD6ef3ik1w/babypunksOpensea/babypunk194.jpeg																																																															CryptoBabyPunk #194					[{'trait_type': 'Attribute', 'value': 'Pacifier', 'display_type': None, 'max_value': None, 'trait_count': 76, 'order': None}, {'trait_type': 'Attribute', 'value': 'Bandana', 'display_type': None, 'max_value': None, 'trait_count': 63, 'order': None}, {'trait_type': 'Baby Type', 'value': 'Boy', 'display_type': None, 'max_value': None, 'trait_count': 498, 'order': None}, {'trait_type': 'DOB', 'value': '03/29/21', 'display_type': None, 'max_value': None, 'trait_count': 29, 'order': None}, {'trait_type': 'Mother', 'value': '#8271', 'display_type': None, 'max_value': None, 'trait_count': 2, 'order': None}, {'trait_type': 'Father', 'value': '#5305', 'display_type': None, 'max_value': None, 'trait_count': 1, 'order': None}, {'trait_type': '#', 'value': 194, 'display_type': 'number', 'max_value': '999', 'trait_count': 0, 'order': None}]																																																																														
									ffffff																										Gizmo by G																																																						6500010075																																																										0xF3515a07a16e4e3687D86871534E9Aa8f6637Bc6	https://res.cloudinary.com/nifty-gateway/image/upload/v1616006291/Max/GoldweardAussie/Gizmo_-_gold_weard_r3s3rq.png																															https://niftygateway.com/#/																																Gizmo #75/100																																																																																			
				https://gateway.pinata.cloud/ipfs/QmdUA89frRXGRY5razQuUYnypUapVKE1j1gCtKjGs4Qfnf					#FFFFFF																										1st Genera					18																																																	128					value,name									LEPTON2							https://app.charged.fi/icons/icon-192x192.png																																					0x3Cd2410EAa9c2dCE50aF6CCAb72Dc93879a09c1F	https://gateway.pinata.cloud/ipfs/QmVrRLhy3i6g54pp2fN8rnLfiYTm7yaE3sWZwU46ZVYtpF																															https://app.charged.fi/go/energize/0x3Cd2410EAa9c2dCE50aF6CCAb72Dc93879a09c1F/{id}																																Electron Neutrino																																																																										lepton									
																																			Just one l																																																						209																																																										0x9147E8fFE86F65ae5053F70aDe2Ef84eEB43ec72	ipfs://Qmdpk52qu7veR88wueQzXxfJbgvJoY8zP9wJskPDNWkzfp/line (209).jpg																																																															Line #209																																																																																			
									ffffff																										Space Yach				https://res.cloudinary.com/nifty-gateway/video/upload/v1614662820/A/SpaceYacht/NFT_Anthem_-_Rami_Perlman_g85smg.mp4																																																		13400010008																																																										0xFa037F7FDFD56560623B16c5c9FCc2ccEd2D886e	https://res.cloudinary.com/nifty-gateway/video/upload/v1614662820/A/SpaceYacht/NFT_Anthem_-_Rami_Perlman_g85smg.png																															https://niftygateway.com/#/																																NFT Anthem #8/52																																																																																			
																																																																																									36					trait_type,value																																																					0xE3ecBc9793BdF679cccbcDe264B3C513d61de2D7	https://skelftees.s3.us-east-2.amazonaws.com/36.png																																																																																																																																																		
									ffffff																										Flower Fac				https://res.cloudinary.com/nifty-gateway/video/upload/v1618764752/ADaniel/Disclosure/Open%20Editions/Disclosure_Face_NIGHT_loop_FINAL_dsut3t.mp4																																																		25400010013																																																										0x4ef001bDF967a34Eb59a7B92E0A6171189D25edb	https://res.cloudinary.com/nifty-gateway/video/upload/v1618764752/ADaniel/Disclosure/Open%20Editions/Disclosure_Face_NIGHT_loop_FINAL_dsut3t.png																															https://niftygateway.com/#/																																Flower Face - Dusk #13/15																																																																																			
																																																																																									12																																																										0x1de2C7895855367f18A25B0994ff5fC5416FA444																																																																																																																																																			
																																																																																									1022					trait_type,value																																																					0xB653b39283084969717f53444D629C8A2d166CB1	https://api.weedbits.com/w/image/1022																																																															Weedbits #1022																																																																																			
																																			Interpreta																																																2021						0					trait_type,value																	{'uri': 'https://ipfs.io/ipfs/QmZNxuWjFnDfPt4kyENgChUjQFtRpbZHeCVJ18g3MKQVeY', 'size': '21234157', 'mimeType': 'image/png'}																																				0xc9917278Fa6B4E0f260e4Cf873B1E5F50798E69c	https://ipfs.io/ipfs/QmZNxuWjFnDfPt4kyENgChUjQFtRpbZHeCVJ18g3MKQVeY																																Sasha Katz																															Mom knows best																																																																																			
																																			FLS is a c																																																						10436					trait_type,value																																																					0xf11B3a52e636dD04aa740cC97C5813CAAb0b75d0	https://funnylookingstrangers.com/strangers/stranger10436.png																															https://funnylookingstrangers.com																																Stranger #10436																																																																																			
									ffffff																										It used to				https://res.cloudinary.com/nifty-gateway/video/upload/v1620654253/Ashley/Zigor/Sol_Master_jezim9.mp4																																																		48700010005																																																										0x47883e8EEE2ee933CB21745f8e3c649FC955b5A8	https://res.cloudinary.com/nifty-gateway/video/upload/v1620654253/Ashley/Zigor/Sol_Master_jezim9.png																															https://niftygateway.com/#/																																Sol #5/25																																																																																			
																																			4000 Pirat																																																						1098					trait_type,value																																																					0x62551852D77485A86D9B0d45c5b92e6CC9EDD2bb	ipfs://QmVr9JqxrYJWrC4dgUKJBtkwsyRjMGgYMkAGSwLn39tXxa/1098.png																																																															Pirates #1098																																																																																			
																																			It's a roc																																																						1009					trait_type,value																																																					0xebaEB894205666314f06B8E5F61Fc0ffE8039cE4	https://gateway.pinata.cloud/ipfs/QmfCr75yXd693A3fWurWaRjCcENaNEcn6oU9dmg8kD7BEr																																																															DigiRock 1009																																																																																			
																																			Mintpasses																																																						146																																																										0x26A65227Be0973f455945d7F89a7A539b059bF78	https://ucube.io/precube/mintpass.png																															https://ucube.io/mintpass																																UCube Mint Pass																																																																																			
																																			This is a 																																																						10004					trait_type,value																																																					0xfb7d186E24E128be1F1339fB9C2bA6fDBd87C6f9	ipfs://QmPLkTXEPE5pubAf8saKNf5vX6DvFbfye7ZPxhARG8bjDo																																																															GRILLZ GANG TICKET #10004																																																																																			
																																																																																									1007					trait_type,value																																																					0xf9F5d80e053F1a40AFD9b75ccA443D15F4F25F04	https://api.theshakai.com/image/1007																															https://theshakai.com																																The Shakai #1007																																																																																			
																											ipfs://QmdvBTtQNQ5NCDPFaAXgH8np4s7JLnGFXND9mj3XbA23q5								A concept 																																																						3					max_value,trait_type,display_type,value																																																					0x2ff68E4d46B76f89aE3D84FAB980b10FE5f8f944	ipfs://QmdvBTtQNQ5NCDPFaAXgH8np4s7JLnGFXND9mj3XbA23q5				Raoul Marks																																																											OG_ASTRO - CONCEPT #3																																																																																			
																																			This Punk 																																																						1054																															W#1054																											0xb7F7F6C52F2e2fdb1963Eab30438024864c313F6	https://api.wrappedpunks.com/images/punks/1054.png																															https://wrappedpunks.com																																W#1054																																																																																			
																																			10,000 uni																																																						1147					trait_type,value																																																					0xd147c1ec123f3a66567b858D86aA21b05a68764f	https://gateway.pinata.cloud/ipfs/QmNZcwyHWLF25CBa71XnkvFGZBC5zuBGVxXWziwRnugu8h/1147.png																															https://chadsnft.com																																Stacy #1147																																																																																			
									000000																										A Gift fro				ipfs://QmbKZTSUhSHPUKqzCsfQ9YVJkGsMGdm2MA38d3ZdMuD44p																											ipfs://Qma56N7WzTPqmyTsayqyQCcNcqsbgw7Yd6irSruixEMUs1																							1070641449740914					trait_type,display_type,value																																																					0x2b36E8D3A3676c40208bc6e491D3a70d1AC950Eb	ipfs://Qmbq5Vn7AnFeLmfsDRvTgo6pKeM3Rvn4gG6pR5XEUZds4c		25																													https://www.bnv.me															0x2b36E8D3A3676c40208bc6e491D3a70d1AC950Eb																	Boodie by Phoenix Rising FANTOMAS series 1.0 #18																																																																																			
																																											1032																						1629758915192																								1032					trait_type,value															1629758915192																																						0x448Fc198255128e3Ab1F21B2fe7cE5ADF154c2B5	https://nft-asset-bucket.s3.amazonaws.com/1032.png																																																															Monster #1032																																																																																			
																																			The Genesi																																																						105					trait_type,value																																																					0x701d32F0bbb18db243410E82D438fF5d917bd799	https://meta.momentx.app/genesis/tables/resources/105.png																			1634230471170																																	MomentX Team											MomentX Genesis Tablet #105	12697fb56284b36e114fb32d9358da691da14cfb																																																																					105			https://meta.momentx.app/genesis/tables/gamefi/105.json										
																																			Monster Mo																																																						1008					trait_type,value																																																					0x125Ecab9FdC132cAd4D6C055b9381AaD60efAF3D	https://api.monstermobnft.com/images/1008.png																																																															Monster Mob #1008																																																																																			
																																			The Crypto																																																						10					trait_type,value																																																					0xDD1Feda9E6Cf6786359d88e668c57D62A2Bf355e	ipfs://Qmee444uZbeAx2n6cwQi2Upimp8gP8HZ2ZkwuQbt7b1v6w/10.png																			1636062411749																																	HashLips Art Engine											#10	434393bc19093f4022b499274964f6bfedc6d4b9																																																																					10													
																																			SpaceAlien																																																						102					trait_type,value																																																					0xa3902A07EFEFd5502F8d792eA32130417f8F6541	https://gateway.pinata.cloud/ipfs/Qmd25cQHVvQ7KfqGwQ9uL84Y9eEwq2hG2g9EU23ZpwstC4/102.png																			1634032477959												http://spaceboys.fun/alien_nft/102																																SpaceAliens #102	13122614																																																																					102													
